10 5
68 131 30 8

Coordinates
1            0            2          0.5
2            0            2            0
3            0       1.3333          0.5
4            0       1.3333            0
5      0.83661            2          0.5
6      0.82128            2            0
7      0.69236            1          0.5
8      0.69236            1            0
9            0      0.66667          0.5
10            0      0.66667            0
11        1.548        1.041       0.2802
12       1.8748            2          0.5
13       1.8242            2            0
14            0            0          0.5
15            0            0            0
16      0.82128            0          0.5
17      0.83661            0            0
18       1.9951      0.78716      0.30142
19       2.2533       1.0644        0.234
20       1.8242            0          0.5
21       1.8748            0            0
22       3.0586            2            0
23       3.1495            2          0.5
24       3.0586            0          0.5
25       3.5889       1.1649      0.16667
26       3.1495            0            0
27       4.5587            2            0
28       4.6944            2          0.5
29       4.5587            0          0.5
30       4.6944            0            0
31       6.3537            2            0
32       6.5374            2          0.5
33       6.3537            0          0.5
34       6.5374            0            0
35       8.4626            2            0
36       8.6463            2          0.5
37       8.4626            0          0.5
38       8.6463            0            0
39       10.306            2            0
40       10.441            2          0.5
41       10.306            0          0.5
42       10.441            0            0
43       11.411      0.83509      0.16667
44        11.85            2            0
45       11.941            2          0.5
46        11.85            0          0.5
47       11.941            0            0
48       12.729       1.1604      0.22598
49       13.023       0.7043      0.17656
50       13.125            2            0
51       13.176            2          0.5
52       13.125            0          0.5
53       13.176            0            0
54        13.48       1.1346      0.18585
55       14.163            2            0
56       14.179            2          0.5
57       14.163            0          0.5
58       14.179            0            0
59       14.308            1          0.5
60       14.308            1            0
61           15            2          0.5
62           15            2            0
63           15       1.3333          0.5
64           15       1.3333            0
65           15      0.66667          0.5
66           15      0.66667            0
67           15            0          0.5
68           15            0            0
EndCoordinates

Elements
1 67 66 68 58
2 65 66 67 57
3 15 10 9 17
4 61 64 63 56
5 14 15 9 16
6 10 4 3 8
7 9 10 3 7
8 62 64 61 56
9 65 64 66 60
10 2 1 4 6
11 64 65 63 59
12 3 4 1 5
13 4 3 8 5
14 66 65 60 57
15 9 10 7 17
16 63 64 59 56
17 17 15 16 9
18 57 67 58 66
19 1 6 5 4
20 62 56 55 64
21 3 10 8 7
22 8 3 7 5
23 10 8 7 17
24 65 64 60 59
25 60 65 59 57
26 64 60 59 55
27 56 51 55 59
28 17 16 20 7
29 57 58 53 60
30 6 13 5 8
31 57 58 60 66
32 5 6 8 4
33 17 16 7 9
34 55 56 59 64
35 59 60 57 52
36 7 8 5 12
37 8 7 17 21
38 60 59 55 50
39 52 57 53 60
40 55 51 50 59
41 5 13 12 8
42 21 17 20 7
43 21 20 24 18
44 21 20 18 11
45 21 20 11 7
46 52 53 47 49
47 52 53 49 54
48 52 53 54 60
49 13 22 12 19
50 12 13 19 11
51 12 13 11 8
52 13 19 11 8
53 19 12 11 18
54 11 19 18 21
55 19 12 18 24
56 19 18 21 24
57 51 45 50 48
58 50 51 48 54
59 50 51 54 59
60 51 48 54 59
61 48 50 54 49
62 54 48 49 52
63 48 50 49 47
64 48 49 52 47
65 50 54 49 53
66 12 11 18 20
67 26 21 24 19
68 46 52 47 48
69 12 22 23 19
70 22 23 19 24
71 50 45 44 48
72 45 44 48 47
73 13 22 19 21
74 51 45 48 52
75 48 54 59 52
76 19 11 8 21
77 23 12 19 24
78 44 50 48 47
79 54 50 59 60
80 59 54 60 52
81 54 50 60 53
82 11 12 8 7
83 8 11 7 21
84 11 12 7 20
85 20 24 18 12
86 53 47 49 50
87 46 47 42 43
88 46 47 43 45
89 22 27 23 25
90 23 22 25 24
91 45 40 44 43
92 44 45 43 47
93 26 24 29 25
94 26 24 25 22
95 41 46 42 40
96 40 39 44 42
97 30 26 29 27
98 27 28 23 29
99 24 26 19 22
100 47 46 48 45
101 42 46 43 40
102 27 23 25 29
103 47 42 43 44
104 22 27 25 26
105 51 48 59 52
106 13 19 8 21
107 30 29 33 27
108 41 42 38 40
109 27 31 28 33
110 40 36 39 38
111 34 30 33 31
112 37 41 38 36
113 31 32 28 33
114 36 35 39 38
115 26 21 19 22
116 46 52 48 45
117 40 44 43 42
118 29 26 25 27
119 25 23 24 29
120 43 46 45 40
121 40 39 42 38
122 27 28 29 33
123 33 34 31 37
124 38 37 36 35
125 37 36 35 32
126 31 32 33 37
127 38 37 35 34
128 31 35 32 37
129 30 33 31 27
130 41 38 36 40
131 37 35 34 31
EndElements

Dirichlet
1           20
3           20
5           20
7           20
9           20
12           20
14           20
16           20
20           20
23           20
24           20
28           20
29           20
32           20
33           20
36           20
37           20
40           20
41           20
45           20
46           20
51           20
52           20
56           20
57           20
59           20
61           20
63           20
65           20
67           20
EndDirichlet

Neumann
1            5
2            5
3            5
4            5
9            5
10            5
14            5
15            5
EndNeumann
